	SNP	Chromosome	Position	trait1
1	ENSG00000163430	3	120111139	5.54019509624152e-06
2	ENSG00000138385	2	170648442	5.46314819772347e-08
3	ENSG00000088179	2	120517206	0.000511322220758173
4	ENSG00000186432	3	160212782	1.41651659926605e-06
5	ENSG00000080503	9	2015341	2.27022574340934e-06
6	ENSG00000110723	11	108376157	2.0728771485089e-08
7	ENSG00000198626	1	237205504	4.19019909775799e-06
8	ENSG00000249884	2	86732790	0.00191760424849219
9	ENSG00000163344	1	154897209	0.0204605115092825
10	ENSG00000102043	23	63444186	0.00130573351771423
11	ENSG00000116641	1	62920398	0.00319484499658969
12	ENSG00000117859	1	52042850	0.00717815005727794
13	ENSG00000164080	3	51575595	0.0341656453337423
14	ENSG00000124831	2	238536218	0.0423953576147812
15	ENSG00000196639	3	11178778	0.00755169775750272
16	ENSG00000084072	1	40157853	0.0701758225875102
17	ENSG00000142765	1	27668512	0.00716971370703653
18	ENSG00000133069	1	205197303	0.0174342129132873
19	ENSG00000198517	7	1570349	0.000273414230609883
20	ENSG00000075151	1	21132962	0.112631483891125
21	ENSG00000091409	2	173292081	0.447880776564792
22	ENSG00000117262	1	145764410	0.172440021316601
23	ENSG00000157445	3	54156573	0.0479149094325246
24	ENSG00000115561	2	86730553	0.149658498858299
25	ENSG00000054267	1	235330209	0.252135474969445
26	ENSG00000144535	2	232825954	0.238547204184325
27	ENSG00000204120	2	233562008	0.0950005820413322
28	ENSG00000163866	1	35178337	0.44321339939847
29	ENSG00000115474	2	233631173	0.366846947986567
30	ENSG00000171680	1	6526151	0.289008204610711
31	ENSG00000138433	2	175212749	0.263134156143666
32	ENSG00000136048	12	102302091	0.0280373496741458
33	ENSG00000117118	1	17345216	0.189690919038387
34	ENSG00000144524	2	232646380	0.0584425370013422
35	ENSG00000163125	1	150335566	0.134582060149867
36	ENSG00000143376	1	151584540	0.589081655117866
37	ENSG00000213185	10	124608593	0.296754364612769
38	ENSG00000114541	3	69219140	0.841402369145802
39	ENSG00000103534	16	19421817	0.196206213054253
40	ENSG00000125037	3	10004220	0.69070144447573
41	ENSG00000114933	2	206858444	0.657688176514067
42	ENSG00000116299	1	109656532	0.0098277373997298
43	ENSG00000163431	1	201865579	0.637571611394625
44	ENSG00000151090	3	24158650	0.902948095449261
45	ENSG00000214050	8	28205803	0.988368796441681
46	ENSG00000116754	1	70671364	0.743922585294216
47	ENSG00000116983	1	40144319	0.82502914782355
48	ENSG00000138002	2	27667237	0.514443895009264
49	ENSG00000174844	3	57327726	0.119178297152865
50	ENSG00000158411	2	99777889	0.929579219180293
